source_id,source_type,food_id,standard_content
2,Nutrient,30,1510.0
2,Nutrient,30,2000.0
2,Nutrient,30,1800.0
2,Nutrient,30,3300.0
2,Nutrient,30,910.0
2,Nutrient,30,1210.0
2,Nutrient,30,1210.0
2,Nutrient,30,1270.0
2,Nutrient,30,1510.0
2,Nutrient,30,1800.0
2,Nutrient,30,1100.0
2,Nutrient,30,900.0
2,Nutrient,31,2400.0
2,Nutrient,31,400.0
2,Nutrient,31,2000.0
2,Nutrient,31,300.0
2,Nutrient,31,2000.0
2,Nutrient,31,300.0
2,Nutrient,31,3100.0
2,Nutrient,31,500.0
2,Nutrient,31,1920.0
2,Nutrient,31,1840.0
2,Nutrient,31,2010.0
2,Nutrient,31,1610.0
2,Nutrient,31,1840.0
2,Nutrient,31,1610.0
2,Nutrient,31,2950.0
2,Nutrient,31,3040.0
2,Nutrient,31,3040.0
2,Nutrient,32,3300.0
2,Nutrient,32,500.0
2,Nutrient,32,4800.0
2,Nutrient,32,800.0
2,Nutrient,32,4500.0
2,Nutrient,32,700.0
2,Nutrient,32,4400.0
2,Nutrient,32,700.0
2,Nutrient,32,3380.0
2,Nutrient,32,2550.0
2,Nutrient,32,3780.0
2,Nutrient,32,3640.0
2,Nutrient,32,2550.0
2,Nutrient,32,3640.0
2,Nutrient,32,14129.0
2,Nutrient,33,1700.0
2,Nutrient,33,300.0
2,Nutrient,33,1700.0
2,Nutrient,33,1800.0
2,Nutrient,33,1800.0
2,Nutrient,33,9995.0
2,Nutrient,34,2400.0
2,Nutrient,34,400.0
2,Nutrient,34,2800.0
2,Nutrient,34,500.0
2,Nutrient,34,5300.0
2,Nutrient,34,800.0
2,Nutrient,34,2820.0
2,Nutrient,34,2380.0
2,Nutrient,34,2810.0
2,Nutrient,34,3100.0
2,Nutrient,34,3060.0
2,Nutrient,34,3100.0
2,Nutrient,34,2980.0
2,Nutrient,34,2980.0
2,Nutrient,34,2980.0
2,Nutrient,34,2380.0
2,Nutrient,34,3100.0
2,Nutrient,34,3100.0
2,Nutrient,34,
2,Nutrient,35,1300.0
2,Nutrient,35,200.0
2,Nutrient,35,1600.0
2,Nutrient,36,600.0
2,Nutrient,36,100.0
2,Nutrient,36,900.0
2,Nutrient,36,710.0
2,Nutrient,36,1040.0
2,Nutrient,36,1530.0
2,Nutrient,36,1500.0
2,Nutrient,36,1140.0
2,Nutrient,36,1360.0
2,Nutrient,36,2470.0
2,Nutrient,36,3350.0
2,Nutrient,36,2460.0
2,Nutrient,36,2990.0
2,Nutrient,36,710.0
2,Nutrient,36,1530.0
2,Nutrient,36,1140.0
2,Nutrient,36,3350.0
2,Nutrient,36,2990.0
2,Nutrient,36,1360.0
2,Nutrient,37,7200.0
2,Nutrient,37,5960.0
2,Nutrient,37,5960.0
2,Nutrient,37,21700.0
2,Nutrient,37,6760.0
2,Nutrient,37,6760.0
2,Nutrient,37,15700.0
2,Nutrient,37,11000.0
2,Nutrient,37,21400.0
2,Nutrient,37,16748.6
2,Nutrient,38,19600.0
2,Nutrient,38,3100.0
2,Nutrient,38,100.0
2,Nutrient,38,0.0
2,Nutrient,38,0.0
2,Nutrient,38,0.0
2,Nutrient,38,20210.0
2,Nutrient,38,0.0
2,Nutrient,38,3300.0
2,Nutrient,38,120.0
2,Nutrient,38,20210.0
2,Nutrient,38,60.0
2,Nutrient,38,7400.0
2,Nutrient,38,120.0
2,Nutrient,38,10.0
2,Nutrient,38,3300.0
2,Nutrient,38,20.0
2,Nutrient,38,0.0
2,Nutrient,38,0.0
2,Nutrient,38,0.0
2,Nutrient,38,0.0
2,Nutrient,38,0.0
2,Nutrient,38,600.0
2,Nutrient,38,220.0
2,Nutrient,38,22750.0
2,Nutrient,39,2360.0
2,Nutrient,39,13800.0
2,Nutrient,39,20500.0
2,Nutrient,40,900.0
2,Nutrient,40,100.0
2,Nutrient,40,2000.0
2,Nutrient,40,300.0
2,Nutrient,40,800.0
2,Nutrient,40,100.0
2,Nutrient,40,900.0
2,Nutrient,40,100.0
2,Nutrient,40,1300.0
2,Nutrient,40,200.0
2,Nutrient,40,10400.0
2,Nutrient,40,1700.0
2,Nutrient,40,13460.0
2,Nutrient,40,14140.0
2,Nutrient,40,12010.0
2,Nutrient,40,900.0
2,Nutrient,40,860.0
2,Nutrient,40,920.0
2,Nutrient,40,800.0
2,Nutrient,40,1080.0
2,Nutrient,40,950.0
2,Nutrient,40,780.0
2,Nutrient,40,920.0
2,Nutrient,40,17900.0
2,Nutrient,40,2000.0
2,Nutrient,40,1870.0
2,Nutrient,40,900.0
2,Nutrient,40,990.0
2,Nutrient,40,920.0
2,Nutrient,40,920.0
2,Nutrient,40,920.0
2,Nutrient,40,950.0
2,Nutrient,40,800.0
2,Nutrient,40,1080.0
2,Nutrient,40,950.0
2,Nutrient,40,950.0
2,Nutrient,40,1040.0
2,Nutrient,40,17900.0
2,Nutrient,40,1100.0
2,Nutrient,40,1000.0
2,Nutrient,40,10580.0
2,Nutrient,40,1660.0
2,Nutrient,40,1740.0
2,Nutrient,40,11860.0
2,Nutrient,40,910.0
2,Nutrient,40,720.0
2,Nutrient,40,800.0
2,Nutrient,40,12350.0
2,Nutrient,40,9600.0
2,Nutrient,41,700.0
2,Nutrient,41,100.0
2,Nutrient,41,470.0
2,Nutrient,41,140.0
2,Nutrient,41,170.0
2,Nutrient,41,3118.5
2,Nutrient,41,19800.0
2,Nutrient,41,
2,Nutrient,42,0.0
2,Nutrient,42,0.0
2,Nutrient,42,0.0
2,Nutrient,42,0.0
2,Nutrient,42,0.0
2,Nutrient,42,0.0
2,Nutrient,42,16180.0
2,Nutrient,42,35620.0
2,Nutrient,42,14800.0
2,Nutrient,42,14600.0
2,Nutrient,42,16350.0
2,Nutrient,43,19770.0
2,Nutrient,43,20526.05
2,Nutrient,44,9200.0
2,Nutrient,44,1700.0
2,Nutrient,44,9500.0
2,Nutrient,44,1800.0
2,Nutrient,44,9200.0
2,Nutrient,44,1700.0
2,Nutrient,44,9170.0
2,Nutrient,44,9500.0
2,Nutrient,44,9200.0
2,Nutrient,44,9500.0
2,Nutrient,44,9200.0
2,Nutrient,45,2000.0
2,Nutrient,45,300.0
2,Nutrient,46,11500.0
2,Nutrient,47,20400.0
2,Nutrient,47,3300.0
2,Nutrient,47,19300.0
2,Nutrient,47,8860.0
2,Nutrient,47,4920.0
2,Nutrient,47,22390.0
2,Nutrient,47,8860.0
2,Nutrient,47,7050.0
2,Nutrient,47,7040.0
2,Nutrient,47,20550.0
2,Nutrient,48,1300.0
2,Nutrient,48,200.0
